,info,habs,m2,floor,price,elevator,exterior,neigh,type
436,"Piso en calle de Josep Serrano, Can Baró, Barcelona",3,70.0,1.0,239000,True,False,Can Baró,Piso
437,"Piso en calle de l'Abadessa Olzet, Pedralbes, Barcelona",4,400.0,1.0,1790000,True,True,Pedralbes,Piso
438,"Piso en calle dels Comtes de Bell-Lloc, Sants, Barcelona",2,50.0,2.0,235000,True,True,Sants,Piso
439,"Piso en Gran Via de les Corts Catalanes, La Dreta de l'Eixample, Barcelona",3,170.0,2.0,1570000,True,True,La Dreta de l'Eixample,Piso
440,"Piso en Sant Gervasi - Galvany, Barcelona",4,161.0,1.0,499000,True,False,Sant Gervasi - Galvany,Piso
441,"Piso en plaza Comercial, Sant Pere - Santa Caterina i la Ribera, Barcelona",1,111.0,1.0,1150000,True,True,Sant Pere - Santa Caterina i la Ribera,Piso
442,"Piso en calle de la Diputació, L'Antiga Esquerra de l'Eixample, Barcelona",2,149.0,6.0,1900000,True,True,L'Antiga Esquerra de l'Eixample,Piso
443,"Piso en calle de la Diputació, L'Antiga Esquerra de l'Eixample, Barcelona",2,149.0,,1325000,True,False,L'Antiga Esquerra de l'Eixample,Piso
444,"Piso en El Raval, Barcelona",1,38.0,5.0,112000,False,False,El Raval,Piso
445,"Piso en El Gòtic, Barcelona",4,175.0,3.0,630000,True,False,El Gòtic,Piso
446,"Piso en calle d'Aragó, El Clot, Barcelona",4,90.0,7.0,345000,True,False,El Clot,Piso
447,"Piso en ronda de la Universitat, La Dreta de l'Eixample, Barcelona",3,120.0,,660000,True,False,La Dreta de l'Eixample,Piso
448,"Piso en avenida de Josep Tarradellas, L'Antiga Esquerra de l'Eixample, Barcelona",3,76.0,5.0,460000,True,True,L'Antiga Esquerra de l'Eixample,Piso
449,"Piso en calle de Bosch i Gimpera, Pedralbes, Barcelona",5,270.0,,2000000,True,False,Pedralbes,Piso
450,"Piso en paseo de Gràcia, La Dreta de l'Eixample, Barcelona",3,140.0,1.0,2500000,True,True,La Dreta de l'Eixample,Piso
451,"Piso en Sant Gervasi - Galvany, Barcelona",4,197.0,4.0,1570000,True,True,Sant Gervasi - Galvany,Piso
452,"Piso en calle de les Moles, 36, El Gòtic, Barcelona",4,95.0,2.0,380000,True,True,El Gòtic,Piso
453,"Piso en calle de Ramon Rocafull, El Carmel, Barcelona",2,64.0,,109000,True,False,El Carmel,Piso
454,"Piso en El Putxet i el Farró, Barcelona",2,92.0,1.0,390000,True,True,El Putxet i el Farró,Piso
455,"Piso en calle de la Mare de Déu de Port, La Marina del Port, Barcelona",3,81.0,2.0,230000,True,True,La Marina del Port,Piso
456,"Ático en calle de Sardenya, La Sagrada Família, Barcelona",3,89.0,3.0,475000,True,True,La Sagrada Família,Ático
457,"Piso en Pedralbes, Barcelona",2,65.0,5.0,450000,True,True,Pedralbes,Piso
458,"Piso en Sant Gervasi - Galvany, Barcelona",5,332.0,5.0,1395000,True,True,Sant Gervasi - Galvany,Piso
459,"Piso en Sant Gervasi - La Bonanova, Barcelona",4,137.0,3.0,850000,True,True,Sant Gervasi - La Bonanova,Piso
460,"Piso en plaza de la Llibertat, Vila de Gràcia, Barcelona",2,74.0,1.0,349000,False,True,Vila de Gràcia,Piso
